0,17869,19741,19741
1,17600,19746,19746
2,17888,19746,19746
3,17883,19490,19746
4,17877,19746,19746
5,18132,19483,19746
6,17871,19483,19746
7,17888,19746,19746
8,18158,19490,19746
9,17340,19490,19746
10,17879,19746,19746
11,18435,19746,19746
12,17878,19490,19746
13,17608,19490,19746
14,17605,19746,19746
15,17606,19746,19746
16,17856,19737,19746
17,17596,19741,19746
18,18139,19487,19746
19,18440,19487,19746
20,17587,19485,19746
21,17887,19487,19746
22,18150,19490,19746
23,17865,19746,19746
24,17893,19746,19746
25,18145,19490,19746
26,18408,19744,19746
27,17588,19744,19746
28,18432,19744,19746
29,18154,19490,19746
30,18409,19746,19746
31,18429,19746,19746
32,17591,19746,19746
33,18167,19746,19746
34,18139,19485,19746
35,17816,19487,19746
36,17883,19490,19746
37,18142,19490,19746
38,17613,19490,19746
39,17600,19490,19746
40,17345,19746,19746
41,17875,19746,19746
42,17829,19746,19746
43,17610,19746,19746
44,17610,19746,19746
45,17611,19485,19746
46,17605,19746,19746
47,17901,19746,19746
48,17887,19490,19746
49,17617,19746,19746
50,18123,19478,19746
51,17861,19484,19746
52,17621,19746,19746
53,18150,19487,19746
54,18141,19746,19746
55,17594,19484,19746
56,17869,19741,19746
57,17876,19746,19746
58,17874,19483,19746
59,17893,19485,19746
60,17596,19746,19746
61,17601,19746,19746
62,17621,19746,19746
63,17889,19746,19746
64,17870,19485,19746
65,18172,19746,19746
66,17885,19744,19746
67,17874,19490,19746
68,17625,19746,19746
69,17601,19228,19746
70,17866,19490,19746
71,17883,19490,19746
72,17892,19744,19746
73,17870,19487,19746
74,17901,19746,19746
75,17887,19490,19746
76,17885,19746,19746
77,18128,19744,19746
78,17873,19741,19746
79,17876,19746,19746
80,18155,19746,19746
81,18158,19485,19746
82,17888,19746,19746
83,17871,19487,19746
84,17863,19746,19746
85,17559,19741,19746
86,18155,19490,19746
87,17583,19741,19746
88,18416,19484,19746
89,17891,19490,19746
90,18131,19744,19746
91,17854,19475,19746
92,17620,19737,19746
93,17625,19487,19746
94,18415,19746,19746
95,17867,19746,19746
96,18164,19746,19746
97,17847,19485,19746
98,17872,19746,19746
99,18134,19482,19746
